name,position,alphavetical value,name score
DANIKA,1056,40,42240
DANILLE,1057,57,60249
DANILO,1058,55,58190
DANITA,1059,49,51891
DANN,1060,33,34980
DANNA,1061,34,36074
DANNETTE,1062,83,88146
DANNIE,1063,47,49961
DANNIELLE,1064,76,80864
DANNY,1065,58,61770
DANTE,1066,44,46904
DANUTA,1067,61,65087
DANYEL,1068,61,65148
DANYELL,1069,73,78037
DANYELLE,1070,78,83460
DAPHINE,1071,57,61047
DAPHNE,1072,48,51456
DARA,1073,24,25752
DARBY,1074,50,53700
DARCEL,1075,43,46225
DARCEY,1076,56,60256
DARCI,1077,35,37695
DARCIE,1078,40,43120
DARCY,1079,51,55029
DARELL,1080,52,56160
DAREN,1081,42,45402
DARIA,1082,33,35706
DARIN,1083,46,49818
DARIO,1084,47,50948
DARIUS,1085,72,78120
DARLA,1086,36,39096
DARLEEN,1087,59,64133
DARLENA,1088,55,59840
DARLENE,1089,59,64251
DARLINE,1090,63,68670
DARNELL,1091,66,72006
DARON,1092,52,56784
DARREL,1093,58,63394
DARRELL,1094,70,76580
DARREN,1095,60,65700
DARRICK,1096,64,70144
DARRIN,1097,64,70208
DARRON,1098,70,76860
DARRYL,1099,78,85722
DARWIN,1100,69,75900
DARYL,1101,60,66060
DAVE,1102,32,35264
DAVID,1103,40,44120
DAVIDA,1104,41,45264
DAVINA,1105,51,56355
DAVIS,1106,55,60830
DAWN,1107,42,46494
DAWNA,1108,43,47644
DAWNE,1109,47,52123
DAYLE,1110,47,52170
DAYNA,1111,45,49995
DAYSI,1112,58,64496
DEADRA,1113,33,36729
DEAN,1114,24,26736
DEANA,1115,25,27875
DEANDRA,1116,47,52452
DEANDRE,1117,51,56967
DEANDREA,1118,52,58136
DEANE,1119,29,32451
DEANGELO,1120,63,70560
DEANN,1121,38,42598
DEANNA,1122,39,43758
DEANNE,1123,43,48289
DEB,1124,11,12364
DEBBI,1125,22,24750
DEBBIE,1126,27,30402
DEBBRA,1127,32,36064
DEBBY,1128,38,42864
DEBERA,1129,35,39515
DEBI,1130,20,22600
DEBORA,1131,45,50895
DEBORAH,1132,53,59996
DEBRA,1133,30,33990
DEBRAH,1134,38,43092
DEBROAH,1135,53,60155
DEDE,1136,18,20448
DEDRA,1137,32,36384
DEE,1138,14,15932
DEEANN,1139,43,48977
DEEANNA,1140,44,50160
DEEDEE,1141,28,31948
DEEDRA,1142,37,42254
DEENA,1143,29,33147
DEETTA,1144,55,62920
DEIDRA,1145,41,46945
DEIDRE,1146,45,51570
DEIRDRE,1147,63,72261
DEJA,1148,20,22960
DEL,1149,21,24129
DELAINE,1150,50,57500
DELANA,1151,37,42587
DELBERT,1152,66,76032
DELCIE,1153,38,43814
DELENA,1154,41,47314
DELFINA,1155,51,58905
DELIA,1156,31,35836
DELICIA,1157,43,49751
DELILA,1158,43,49794
DELILAH,1159,51,59109
DELINDA,1160,49,56840
DELISA,1161,50,58050
DELL,1162,33,38346
DELLA,1163,34,39542
DELMA,1164,35,40740
DELMAR,1165,53,61745
DELMER,1166,57,66462
DELMY,1167,59,68853
DELOIS,1168,64,74752
DELOISE,1169,69,80661
DELORA,1170,55,64350
DELORAS,1171,74,86654
DELORES,1172,78,91416
DELORIS,1173,82,96186
DELORSE,1174,78,91572
DELPHA,1175,46,54050
DELPHIA,1176,55,64680
DELPHINE,1177,73,85921
DELSIE,1178,54,63612
DELTA,1179,42,49518
DEMARCUS,1180,84,99120
DEMETRA,1181,66,77946
DEMETRIA,1182,75,88650
DEMETRICE,1183,82,97006
DEMETRIUS,1184,114,134976
DENA,1185,24,28440
DENAE,1186,29,34394
DENEEN,1187,47,55789
DENESE,1188,52,61776
DENICE,1189,40,47560
DENIS,1190,51,60690
DENISE,1191,56,66696
DENISHA,1192,60,71520
DENISSE,1193,75,89475
DENITA,1194,53,63282
DENNA,1195,38,45410
DENNIS,1196,65,77740
DENNISE,1197,70,83790
DENNY,1198,62,74276
DENVER,1199,68,81532
DENYSE,1200,72,86400
DEON,1201,38,45638
DEONNA,1202,53,63706
DEREK,1203,43,51729
DERICK,1204,50,60200
DERRICK,1205,68,81940
DESHAWN,1206,74,89244
DESIRAE,1207,61,73627
DESIRE,1208,60,72480
DESIREE,1209,65,78585
DESMOND,1210,74,89540
DESPINA,1211,68,82348
DESSIE,1212,61,73932
DESTINY,1213,96,116448
DETRA,1214,48,58272
DEVIN,1215,54,65610
DEVON,1216,60,72960
DEVONA,1217,61,74237
DEVORA,1218,65,79170
DEVORAH,1219,73,88987
DEWAYNE,1220,77,93940
DEWEY,1221,62,75702
DEWITT,1222,81,98982
DEXTER,1223,76,92948
DIA,1224,14,17136
DIAMOND,1225,60,73500
DIAN,1226,28,34328
DIANA,1227,29,35583
DIANE,1228,33,40524
DIANN,1229,42,51618
DIANNA,1230,43,52890
DIANNE,1231,47,57857
DICK,1232,27,33264
DIEDRA,1233,41,50553
DIEDRE,1234,45,55530
DIEGO,1235,40,49400
DIERDRE,1236,63,77868
DIGNA,1237,35,43295
DILLON,1238,66,81708
DIMPLE,1239,59,73101
DINA,1240,28,34720
DINAH,1241,36,44676
DINO,1242,42,52164
DINORAH,1243,69,85767
DION,1244,42,52248
DIONE,1245,47,58515
DIONNA,1246,57,71022
DIONNE,1247,61,76067
DIRK,1248,42,52416
DIVINA,1249,59,73691
DIXIE,1250,51,63750
DODIE,1251,37,46287
DOLLIE,1252,57,71364
DOLLY,1253,68,85204
DOLORES,1254,88,110352
DOLORIS,1255,92,115460
DOMENIC,1256,63,79128
DOMENICA,1257,64,80448
DOMINGA,1258,63,79254
DOMINGO,1259,77,96943
DOMINIC,1260,67,84420
DOMINICA,1261,68,85748
DOMINICK,1262,78,98436
DOMINIQUE,1263,107,135141
DOMINQUE,1264,98,123872
DOMITILA,1265,83,104995
DOMONIQUE,1266,113,143058
DON,1267,33,41811
DONA,1268,34,43112
DONALD,1269,50,63450
DONELLA,1270,63,80010
DONETTA,1271,79,100409
DONETTE,1272,83,105576
DONG,1273,40,50920
DONITA,1274,63,80262
DONN,1275,47,59925
DONNA,1276,48,61248
DONNELL,1277,76,97052
DONNETTA,1278,93,118854
DONNETTE,1279,97,124063
DONNIE,1280,61,78080
DONNY,1281,72,92232
DONOVAN,1282,85,108970
DONTE,1283,58,74414
DONYA,1284,59,75756
DORA,1285,38,48830
DORATHY,1286,91,117026
DORCAS,1287,60,77220
DOREATHA,1288,72,92736
DOREEN,1289,61,78629
DORENE,1290,61,78690
DORETHA,1291,71,91661
DORETHEA,1292,76,98192
DORETTA,1293,83,107319
DORI,1294,46,59524
DORIA,1295,47,60865
DORIAN,1296,61,79056
DORIE,1297,51,66147
DORINDA,1298,65,84370
DORINE,1299,65,84435
DORIS,1300,65,84500
DORLA,1301,50,65050
DOROTHA,1302,81,105462
DOROTHEA,1303,86,112058
DOROTHY,1304,105,136920
DORRIS,1305,83,108315
DORSEY,1306,86,112316
DORTHA,1307,66,86262
DORTHEA,1308,71,92868
DORTHEY,1309,95,124355
DORTHY,1310,90,117900
DOT,1311,39,51129
DOTTIE,1312,73,95776
DOTTY,1313,84,110292
DOUG,1314,47,61758
DOUGLAS,1315,79,103885
DOUGLASS,1316,98,128968
DOVIE,1317,55,72435
DOYLE,1318,61,80398
DREAMA,1319,42,55398
DREMA,1320,41,54120
DREW,1321,50,66050
DRUCILLA,1322,80,105760
DRUSILLA,1323,96,127008
DUANE,1324,45,59580
DUDLEY,1325,71,94075
DULCE,1326,45,59670
DULCIE,1327,54,71658
DUNCAN,1328,57,75696
DUNG,1329,46,61134
DUSTI,1330,73,97090
DUSTIN,1331,87,115797
DUSTY,1332,89,118548
DWAIN,1333,51,67983
DWANA,1334,43,57362
DWAYNE,1335,72,96120
DWIGHT,1336,71,94856
DYAN,1337,44,58828
DYLAN,1338,56,74928
EARL,1339,36,48204
EARLE,1340,41,54940
EARLEAN,1341,56,75096
EARLEEN,1342,60,80520
EARLENE,1343,60,80580
EARLIE,1344,50,67200
EARLINE,1345,64,86080
EARNEST,1346,82,110372
EARNESTINE,1347,110,148170
EARTHA,1348,53,71444
EASTER,1349,68,91732
EBONI,1350,45,60750
EBONIE,1351,50,67550
EBONY,1352,61,82472
ECHO,1353,31,41943
ED,1354,9,12186
EDA,1355,10,13550
EDDA,1356,14,18984
EDDIE,1357,27,36639
EDDY,1358,38,51604
EDELMIRA,1359,67,91053
EDEN,1360,28,38080
EDGAR,1361,35,47635
EDGARDO,1362,54,73548
EDIE,1363,23,31349
EDISON,1364,66,90024
EDITH,1365,46,62790
EDMOND,1366,55,75130
EDMUND,1367,61,83387
EDMUNDO,1368,76,103968
EDNA,1369,24,32856
EDRA,1370,28,38360
EDRIS,1371,55,75405
EDUARDO,1372,68,93296
EDWARD,1373,55,75515
EDWARDO,1374,70,96180
EDWIN,1375,55,75625
EDWINA,1376,56,77056
EDYTH,1377,62,85374
EDYTHE,1378,67,92326
EFFIE,1379,31,42749
EFRAIN,1380,53,73140
EFREN,1381,48,66288
EHTEL,1382,50,69100
EILEEN,1383,50,69150
EILENE,1384,50,69200
ELA,1385,18,24930
ELADIA,1386,32,44352
ELAINA,1387,42,58254
ELAINE,1388,46,63848
ELANA,1389,33,45837
ELANE,1390,37,51430
ELANOR,1391,65,90415
ELAYNE,1392,62,86304
ELBA,1393,20,27860
ELBERT,1394,62,86428
ELDA,1395,22,30690
ELDEN,1396,40,55840
ELDON,1397,50,69850
ELDORA,1398,55,76890
ELDRIDGE,1399,64,89536
ELEANOR,1400,70,98000
ELEANORA,1401,71,99471
ELEANORE,1402,75,105150
ELEASE,1403,47,65941
ELENA,1404,37,51948
ELENE,1405,41,57605
ELENI,1406,45,63270
ELENOR,1407,69,97083
ELENORA,1408,70,98560
ELENORE,1409,74,104266
ELEONOR,1410,84,118440
ELEONORA,1411,85,119935
ELEONORE,1412,89,125668
ELFREDA,1413,51,72063
ELFRIEDA,1414,60,84840
ELFRIEDE,1415,64,90560
ELI,1416,26,36816
ELIA,1417,27,38259
ELIANA,1418,42,59556
ELIAS,1419,46,65274
ELICIA,1420,39,55380
ELIDA,1421,31,44051
ELIDIA,1422,40,56880
ELIJAH,1423,45,64035
ELIN,1424,40,56960
ELINA,1425,41,58425
ELINOR,1426,73,104098
ELINORE,1427,78,111306
ELISA,1428,46,65688
ELISABETH,1429,81,115749
ELISE,1430,50,71500
ELISEO,1431,65,93015
ELISHA,1432,54,77328
ELISSA,1433,65,93145
ELIZ,1434,52,74568
ELIZA,1435,53,76055
ELIZABET,1436,80,114880
ELIZABETH,1437,88,126456
ELIZBETH,1438,87,125106
ELIZEBETH,1439,92,132388
ELKE,1440,33,47520
ELLA,1441,30,43230
ELLAMAE,1442,49,70658
ELLAN,1443,44,63492
ELLEN,1444,48,69312
ELLENA,1445,49,70805
ELLI,1446,38,54948
ELLIE,1447,43,62221
ELLIOT,1448,73,105704
ELLIOTT,1449,93,134757
ELLIS,1450,57,82650
ELLSWORTH,1451,132,191532
ELLY,1452,54,78408
ELLYN,1453,68,98804
ELMA,1454,31,45074
ELMER,1455,53,77115
ELMIRA,1456,58,84448
ELMO,1457,45,65565
ELNA,1458,32,46656
ELNORA,1459,65,94835
ELODIA,1460,46,67160
ELOIS,1461,60,87660
ELOISA,1462,61,89182
ELOISE,1463,65,95095
ELOUISE,1464,86,125904
ELOY,1465,57,83505
ELROY,1466,75,109950
ELSA,1467,37,54279
ELSE,1468,41,60188
ELSIE,1469,50,73450
ELSY,1470,61,89670
ELTON,1471,66,97086
ELVA,1472,40,58880
ELVERA,1473,63,92799
ELVIA,1474,49,72226
ELVIE,1475,53,78175
ELVIN,1476,62,91512
ELVINA,1477,63,93051
ELVIRA,1478,67,99026
ELVIS,1479,67,99093
ELWANDA,1480,60,88800
ELWOOD,1481,74,109594
ELYSE,1482,66,97812
ELZA,1483,44,65252
EMA,1484,19,28196
EMANUEL,1485,71,105435
EMELDA,1486,40,59440
EMELIA,1487,45,66915
EMELINA,1488,59,87792
EMELINE,1489,63,93807
EMELY,1490,60,89400
EMERALD,1491,58,86478
EMERITA,1492,71,105932
EMERSON,1493,89,132877
EMERY,1494,66,98604
EMIKO,1495,53,79235
EMIL,1496,39,58344
EMILE,1497,44,65868
EMILEE,1498,49,73402
EMILIA,1499,49,73451
EMILIE,1500,53,79500
EMILIO,1501,63,94563
EMILY,1502,64,96128
EMMA,1503,32,48096
EMMALINE,1504,72,108288
EMMANUEL,1505,84,126420
EMMETT,1506,76,114456
EMMIE,1507,45,67815
EMMITT,1508,80,120640
EMMY,1509,56,84504
EMOGENE,1510,64,96640
EMORY,1511,76,114836
ENA,1512,20,30240
ENDA,1513,24,36312
ENEDINA,1514,52,78728
ENEIDA,1515,38,57570
ENID,1516,32,48512
ENOCH,1517,45,68265
ENOLA,1518,47,71346
ENRIQUE,1519,89,135191
ENRIQUETA,1520,110,167200
EPIFANIA,1521,61,92781
ERA,1522,24,36528
ERASMO,1523,71,108133
ERIC,1524,35,53340
ERICA,1525,36,54900
ERICH,1526,43,65618
ERICK,1527,46,70242
ERICKA,1528,47,71816
ERIK,1529,43,65747
ERIKA,1530,44,67320
ERIN,1531,46,70426
ERINN,1532,60,91920
ERLENE,1533,59,90447
ERLINDA,1534,63,96642
ERLINE,1535,63,96705
ERMA,1536,37,56832
ERMELINDA,1537,81,124497
ERMINIA,1538,69,106122
ERNA,1539,38,58482
ERNEST,1540,81,124740
ERNESTINA,1541,105,161805
ERNESTINE,1542,109,168078
ERNESTO,1543,96,148128
ERNIE,1544,51,78744
ERROL,1545,68,105060
ERVIN,1546,68,105128
ERWIN,1547,69,106743
ERYN,1548,62,95976
ESMERALDA,1549,78,120822
ESPERANZA,1550,105,162750
ESSIE,1551,57,88407
ESTA,1552,45,69840
ESTEBAN,1553,66,102498
ESTEFANA,1554,71,110334
ESTELA,1555,62,96410
ESTELL,1556,73,113588
ESTELLA,1557,74,115218
ESTELLE,1558,78,121524
ESTER,1559,67,104453
ESTHER,1560,75,117000
ESTRELLA,1561,92,143612
ETHA,1562,34,53108
ETHAN,1563,48,75024
ETHEL,1564,50,78200
ETHELENE,1565,74,115810
ETHELYN,1566,89,139374
ETHYL,1567,70,109690
ETSUKO,1568,91,142688
ETTA,1569,46,72174
ETTIE,1570,59,92630
EUFEMIA,1571,60,94260
EUGENA,1572,53,83316
EUGENE,1573,57,89661
EUGENIA,1574,62,97588
EUGENIE,1575,66,103950
EUGENIO,1576,76,119776
EULA,1577,39,61503
EULAH,1578,47,74166
EULALIA,1579,61,96319
EUN,1580,40,63200
EUNA,1581,41,64821
EUNICE,1582,57,90174
EURA,1583,45,71235
EUSEBIA,1584,62,98208
EUSEBIO,1585,76,120460
EUSTOLIA,1586,102,161772
EVA,1587,28,44436
EVALYN,1588,79,125452
EVAN,1589,42,66738
EVANGELINA,1590,90,143100
EVANGELINE,1591,94,149554
EVE,1592,32,50944
EVELIA,1593,54,86022
EVELIN,1594,67,106798
EVELINA,1595,68,108460
EVELINE,1596,72,114912
EVELYN,1597,83,132551
EVELYNE,1598,88,140624
EVELYNN,1599,97,155103
EVERETT,1600,95,152000
EVERETTE,1601,100,160100
EVETTE,1602,77,123354
EVIA,1603,37,59311
EVIE,1604,41,65764
EVITA,1605,57,91485
EVON,1606,56,89936
EVONNE,1607,75,120525
EWA,1608,29,46632
EXIE,1609,43,69187
EZEKIEL,1610,73,117530
EZEQUIEL,1611,100,161100
EZRA,1612,50,80600
FABIAN,1613,33,53229
FABIOLA,1614,46,74244
FAE,1615,12,19380
FAIRY,1616,59,95344
FAITH,1617,44,71148
FALLON,1618,60,97080
FANNIE,1619,49,79331
FANNY,1620,60,97200
FARAH,1621,34,55114
FARRAH,1622,52,84344
FATIMA,1623,50,81150
FATIMAH,1624,58,94192
FAUSTINA,1625,91,147875
FAUSTINO,1626,105,170730
FAUSTO,1627,82,133414
FAVIOLA,1628,66,107448
FAWN,1629,44,71676
FAY,1630,32,52160
FAYE,1631,37,60347
FE,1632,11,17952
FEDERICO,1633,65,106145
FELECIA,1634,41,66994
FELICA,1635,36,58860
FELICE,1636,40,65440
FELICIA,1637,45,73665
FELICIDAD,1638,53,86814
FELICITA,1639,65,106535
FELICITAS,1640,84,137760
FELIPA,1641,49,80409
FELIPE,1642,53,87026
FELISA,1643,52,85436
FELISHA,1644,60,98640
FELIX,1645,56,92120
FELTON,1646,72,118512
FERDINAND,1647,75,123525
FERMIN,1648,65,107120
FERMINA,1649,66,108834
FERN,1650,43,70950
FERNANDA,1651,63,104013
FERNANDE,1652,67,110684
FERNANDO,1653,77,127281
FERNE,1654,48,79392
FIDEL,1655,36,59580
FIDELA,1656,37,61272
FIDELIA,1657,46,76222
FILIBERTO,1658,96,159168
FILOMENA,1659,75,124425
FIONA,1660,45,74700
FLAVIA,1661,51,84711
FLETA,1662,44,73128
FLETCHER,1663,77,128051
FLO,1664,33,54912
FLOR,1665,51,84915
FLORA,1666,52,86632
FLORANCE,1667,74,123358
FLORENCE,1668,78,130104
FLORENCIA,1669,83,138527
FLORENCIO,1670,97,161990
FLORENE,1671,75,125325
FLORENTINA,1672,114,190608
FLORENTINO,1673,128,214144
FLORETTA,1674,97,162378
FLORIA,1675,61,102175
FLORIDA,1676,65,108940
FLORINDA,1677,79,132483
FLORINE,1678,79,132562
FLORRIE,1679,83,139357
FLOSSIE,1680,85,142800
FLOY,1681,58,97498
FLOYD,1682,62,104284
FONDA,1683,40,67320
FOREST,1684,83,139772
FORREST,1685,101,170185
FOSTER,1686,83,139938
FRAN,1687,39,65793
FRANCE,1688,47,79336
FRANCENE,1689,66,111474
FRANCES,1690,66,111540
FRANCESCA,1691,70,118370
FRANCESCO,1692,84,142128
FRANCHESCA,1693,78,132054
FRANCIE,1694,56,94864
FRANCINA,1695,66,111870
FRANCINE,1696,70,118720
FRANCIS,1697,70,118790
FRANCISCA,1698,74,125652
FRANCISCO,1699,88,149512
FRANCOISE,1700,90,153000
FRANK,1701,50,85050
FRANKIE,1702,64,108928
FRANKLIN,1703,85,144755
FRANKLYN,1704,101,172104
FRANSISCA,1705,90,153450
FRED,1706,33,56298
FREDA,1707,34,58038
FREDDA,1708,38,64904
FREDDIE,1709,51,87159
FREDDY,1710,62,106020
FREDERIC,1711,68,116348
FREDERICA,1712,69,118128
FREDERICK,1713,79,135327
FREDERICKA,1714,80,137120
FREDIA,1715,43,73745
FREDRIC,1716,63,108108
FREDRICK,1717,74,127058
FREDRICKA,1718,75,128850
FREEDA,1719,39,67041
FREEMAN,1720,62,106640
FREIDA,1721,43,74003
FRIDA,1722,38,65436
FRIEDA,1723,43,74089
FRITZ,1724,79,136196
FUMIKO,1725,75,129375
GABRIEL,1726,54,93204
GABRIELA,1727,55,94985
GABRIELE,1728,59,101952
GABRIELLA,1729,67,115843
GABRIELLE,1730,71,122830
GAIL,1731,29,50199
GALA,1732,21,36372
GALE,1733,25,43325
GALEN,1734,39,67626
GALINA,1735,44,76340
GARFIELD,1736,62,107632
GARLAND,1737,57,99009
GARNET,1738,65,112970
GARNETT,1739,85,147815
GARRET,1740,69,120060
GARRETT,1741,89,154949
GARRY,1742,69,120198
GARTH,1743,54,94122
GARY,1744,51,88944
GASTON,1745,76,132620
GAVIN,1746,53,92538
GAY,1747,33,57651
GAYE,1748,38,66424
GAYLA,1749,46,80454
GAYLE,1750,50,87500
GAYLENE,1751,69,120819
GAYLORD,1752,82,143664
GAYNELL,1753,76,133228
GAYNELLE,1754,81,142074
GEARLDINE,1755,75,131625
GEMA,1756,26,45656
GEMMA,1757,39,68523
GENA,1758,27,47466
GENARO,1759,60,105540
GENE,1760,31,54560
GENESIS,1761,78,137358
GENEVA,1762,54,95148
GENEVIE,1763,67,118121
GENEVIEVE,1764,94,165816
GENEVIVE,1765,89,157085
GENIA,1766,36,63576
GENIE,1767,40,70680
GENNA,1768,41,72488
GENNIE,1769,54,95526
GENNY,1770,65,115050
GENOVEVA,1771,91,161161
GEOFFREY,1772,87,154164
GEORGANN,1773,81,143613
GEORGE,1774,57,101118
GEORGEANN,1775,86,152650
GEORGEANNA,1776,87,154512
GEORGENE,1777,76,135052
GEORGETTA,1778,98,174244
GEORGETTE,1779,102,181458
GEORGIA,1780,62,110360
GEORGIANA,1781,77,137137
GEORGIANN,1782,90,160380
GEORGIANNA,1783,91,162253
GEORGIANNE,1784,95,169480
GEORGIE,1785,66,117810
GEORGINA,1786,76,135736
GEORGINE,1787,80,142960
GERALD,1788,47,84036
GERALDINE,1789,75,134175
GERALDO,1790,62,110980
GERALYN,1791,82,146862
GERARD,1792,53,94976
GERARDO,1793,68,121924
GERDA,1794,35,62790
GERI,1795,39,70005
GERMAINE,1796,72,129312
GERMAN,1797,58,104226
GERRI,1798,57,102486
GERRY,1799,73,131327
GERTHA,1800,59,106200
GERTIE,1801,64,115264
GERTRUD,1802,93,167586
GERTRUDE,1803,98,176694
GERTRUDIS,1804,121,218284
GERTUDE,1805,80,144400
GHISLAINE,1806,84,151704
GIA,1807,17,30719
GIANNA,1808,46,83168
GIDGET,1809,52,94068
GIGI,1810,32,57920
GIL,1811,28,50708
GILBERT,1812,73,132276
GILBERTE,1813,78,141414
GILBERTO,1814,88,159632
GILDA,1815,33,59895
GILLIAN,1816,64,116224
GILMA,1817,42,76314
GINA,1818,31,56358
GINETTE,1819,80,145520
GINGER,1820,60,109200
GINNY,1821,69,125649
GINO,1822,45,81990
GIOVANNA,1823,83,151309
GIOVANNI,1824,91,165984
GISELA,1825,53,96725
GISELE,1826,57,104082
GISELLE,1827,69,126063
GITA,1828,37,67636
GIUSEPPE,1829,98,179242
GIUSEPPINA,1830,117,214110
GLADIS,1831,52,95212
GLADY,1832,49,89768
GLADYS,1833,68,124644
GLAYDS,1834,68,124712
GLEN,1835,38,69730
GLENDA,1836,43,78948
GLENDORA,1837,76,139612
GLENN,1838,52,95576
GLENNA,1839,53,97467
GLENNIE,1840,66,121440
GLENNIS,1841,80,147280
GLINDA,1842,47,86574
GLORIA,1843,62,114266
GLORY,1844,77,141988
GLYNDA,1845,63,116235
GLYNIS,1846,86,158756
GOLDA,1847,39,72033
GOLDEN,1848,57,105336
GOLDIE,1849,52,96148
GONZALO,1850,90,166500
GORDON,1851,73,135123
GRACE,1852,34,62968
GRACIA,1853,39,72267
GRACIE,1854,43,79722
GRACIELA,1855,56,103880
GRADY,1856,55,102080
GRAHAM,1857,48,89136
GRAIG,1858,42,78036
GRANT,1859,60,111540
GRANVILLE,1860,100,186000
GRAYCE,1861,59,109799
GRAZYNA,1862,92,171304
GREG,1863,37,68931
GREGG,1864,44,82016
GREGORIA,1865,80,149200
GREGORIO,1866,94,175404
GREGORY,1867,95,177365
GRETA,1868,51,95268
GRETCHEN,1869,80,149520
GRETTA,1870,71,132770
GRICELDA,1871,59,110389
GRISEL,1872,70,131040
GRISELDA,1873,75,140475
GROVER,1874,85,159290
GUADALUPE,1875,88,165000
GUDRUN,1876,85,159460
GUILLERMINA,1877,121,227117
GUILLERMO,1878,112,210336
GUS,1879,47,88313
GUSSIE,1880,80,150400
GUSTAVO,1881,105,197505
GUY,1882,53,99746
GWEN,1883,49,92267
GWENDA,1884,54,101736
GWENDOLYN,1885,119,224315
GWENN,1886,63,118818
GWYN,1887,69,130203
GWYNETH,1888,102,192576
HA,1889,9,17001
HAE,1890,14,26460
HAI,1891,18,34038
HAILEY,1892,60,113520
HAL,1893,21,39753
HALEY,1894,51,96594
HALINA,1895,45,85275
HALLEY,1896,63,119448
HALLIE,1897,47,89159
HAN,1898,23,43654
HANA,1899,24,45576
HANG,1900,30,57000
HANH,1901,31,58931
HANK,1902,34,64668
HANNA,1903,38,72314
HANNAH,1904,46,87584
HANNELORE,1905,92,175260
HANS,1906,42,80052
HARLAN,1907,54,102978
HARLAND,1908,58,110664
HARLEY,1909,69,131721
HARMONY,1910,94,179540
HAROLD,1911,58,110838
HARRIET,1912,79,151048
HARRIETT,1913,99,189387
HARRIETTE,1914,104,199056
HARRIS,1915,73,139795
HARRISON,1916,102,195432
HARRY,1917,70,134190
HARVEY,1918,79,151522
HASSAN,1919,62,118978
HASSIE,1920,61,117120
HATTIE,1921,63,121023
HAYDEE,1922,48,92256
HAYDEN,1923,57,109611
HAYLEY,1924,76,146224
HAYWOOD,1925,91,175175
HAZEL,1926,52,100152
HEATH,1927,42,80934
HEATHER,1928,65,125320
HECTOR,1929,69,133101
HEDWIG,1930,56,108080
HEDY,1931,42,81102
HEE,1932,18,34776
HEIDE,1933,31,59923
HEIDI,1934,35,67690
HEIDY,1935,51,98685
HEIKE,1936,38,73568
HELAINE,1937,54,104598
HELEN,1938,44,85272
HELENA,1939,45,87255
HELENE,1940,49,95060
HELGA,1941,33,64053
HELLEN,1942,56,108752
HENRIETTA,1943,100,194300
HENRIETTE,1944,104,202176
HENRY,1945,70,136150
HERB,1946,33,64218
HERBERT,1947,76,147972
HERIBERTO,1948,100,194800
HERLINDA,1949,71,138379
HERMA,1950,45,87750
HERMAN,1951,59,115109
HERMELINDA,1952,89,173728
HERMILA,1953,66,128898
HERMINA,1954,68,132872
HERMINE,1955,72,140760
HERMINIA,1956,77,150612
HERSCHEL,1957,78,152646
HERSHEL,1958,75,146850
HERTA,1959,52,101868
HERTHA,1960,60,117600
HESTER,1961,75,147075
HETTIE,1962,67,131454
HIEDI,1963,35,68705
HIEN,1964,36,70704
HILARIA,1965,58,113970
HILARIO,1966,72,141552
HILARY,1967,73,143591
HILDA,1968,34,66912
HILDE,1969,38,74822
HILDEGARD,1970,68,133960
HILDEGARDE,1971,73,143883
HILDRED,1972,60,118320
HILLARY,1973,85,167705
HILMA,1974,43,84882
HILTON,1975,78,154050
HIPOLITO,1976,104,205504
HIRAM,1977,49,96873
HIROKO,1978,76,150328
HISAKO,1979,63,124677
HOA,1980,24,47520
HOBERT,1981,68,134708
HOLLEY,1982,77,152614
HOLLI,1983,56,111048
HOLLIE,1984,61,121024
HOLLIS,1985,75,148875
HOLLY,1986,72,142992
HOMER,1987,59,117233
HONEY,1988,67,133196
HONG,1989,44,87516
HOPE,1990,44,87560
HORACE,1991,50,99550
HORACIO,1992,69,137448
HORTENCIA,1993,93,185349
HORTENSE,1994,104,207376
HORTENSIA,1995,109,217455
HOSEA,1996,48,95808
HOUSTON,1997,112,223664
HOWARD,1998,69,137862
HOYT,1999,68,135932
HSIU,2000,57,114000
HUBERT,2001,74,148074
HUE,2002,34,68068
HUEY,2003,59,118177
HUGH,2004,44,88176
HUGO,2005,51,102255
HUI,2006,38,76228
HULDA,2007,46,92322
HUMBERTO,2008,102,204816
HUNG,2009,50,100450
HUNTER,2010,86,172860
HUONG,2011,65,130715
HWA,2012,32,64384
HYACINTH,2013,88,177144
HYE,2014,38,76532
HYMAN,2015,61,122915
HYO,2016,48,96768
HYON,2017,62,125054
HYUN,2018,68,137224
IAN,2019,24,48456
IDA,2020,14,28280
IDALIA,2021,36,72756
IDELL,2022,42,84924
IDELLA,2023,43,86989
IESHA,2024,42,85008
IGNACIA,2025,44,89100
IGNACIO,2026,58,117508
IKE,2027,25,50675
ILA,2028,22,44616
ILANA,2029,37,75073
ILDA,2030,26,52780
ILEANA,2031,42,85302
ILEEN,2032,45,91440
ILENE,2033,45,91485
ILIANA,2034,46,93564
ILLA,2035,34,69190
ILONA,2036,51,103836
ILSE,2037,45,91665
ILUMINADA,2038,84,171192
IMA,2039,23,46897
IMELDA,2040,44,89760
IMOGENE,2041,68,138788
IN,2042,23,46966
INA,2043,24,49032
INDIA,2044,37,75628
INDIRA,2045,55,112475
INELL,2046,52,106392
INES,2047,47,96209
INEZ,2048,54,110592
INGA,2049,31,63519
INGE,2050,35,71750
INGEBORG,2051,77,157927
INGER,2052,53,108756
INGRID,2053,61,125233
INOCENCIA,2054,73,149942
IOLA,2055,37,76035
